Product_id,Brand Name,Product Name,Image URL,Selling Price,MRP Price,Discount Percentage,Rating,Comment / Review Count,Listing Type,Source Page
12027418,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027418/2022/9/15/b5f7623a-cc63-43b2-bed7-1ad9ab3070921663221186524LevisMenNavyBlueSolidRoundNeckLoungeT-shirts1.jpg",577,649,11%,4.4,18.7k,Oragnic,Brand
26436538,Levis,Men Checked Backpack- 17 Ltr,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26436538/2024/1/17/719a232f-f915-4165-9360-2c9892f4dffa1705493301719LevisMenCheckedBackpack-35Ltr1.jpg",839,1999,58%,4.5,775,Oragnic,Brand
14451144,Levis,Men Cotton Solid Boxers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14451144/2021/6/29/21a6572a-f206-4406-8d83-4544661b2eeb1624950630658-Levis-Men-Boxers-5231624950629952-1.jpg",487,749,35%,4.2,325,AD,Brand
35665810,Levis,Loose Pure Cotton Co-Ords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/22/YumlrEkI_57374ad5881e4cf3953f9f4a705fdb58.jpg",1839,4599,60%,5,11,Oragnic,Brand
9262443,Levis,Men Pack of 2 Neo Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262443/2022/9/15/5352c32c-da3c-4341-baaf-42a49f8427811663221324037LevisMenPackof2BriefsBF-100CA-2PK1.jpg",397,479,17%,4.2,57.9k,Oragnic,Brand
10723240,Levis,Men Thermal Bottoms,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723240/2020/11/12/e8340bc6-21cf-4362-847c-18988d7b41801605161721201-Levis-Men-Charcoal-Grey-Solid-Thermal-Bottoms-87516051617194-1.jpg",569,949,40%,4.3,3.9k,AD,Brand
25756906,Levis,Pure Cotton Slim Casual Shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25756906/2024/2/5/b908a832-fd3c-44ee-8f47-caab62b024db1707128901916-Levis-Men-Shirts-6091707128901549-1.jpg",879,2199,60%,4.4,1.2k,Oragnic,Brand
35552263,Levis,Men 505 Straight Fit Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/12/5qDttw94_f0307bd9361e4222baee1041be62fbb7.jpg",1399,3499,60%,4.4,261,Oragnic,Brand
36999706,Levis,Pack Of 3 Ankle Length Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/14/acMea6IF_e3624883f5dc48fb80478d12d4fc7d3d.jpg",399,549,27%,4.5,109,AD,Brand
9262607,Levis,Pack of 2 Cotton Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262607/2022/9/15/ab1b8745-50ef-4a4a-8f7a-88ff4ce46acc1663221574173LevisMenPackof2CottonBriefsBF-100CA-2PK1.jpg",397,479,17%,4.2,57.9k,Oragnic,Brand
35665812,Levis,Typography Printed Co-ords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/29/271lup3v_670e5c38bbe34ff2a0f8a4b7025f8ad7.jpg",1639,4099,60%,4.4,25,Oragnic,Brand
35549254,Levis,Pure Cotton Slim Fit T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/12/5JkAVTf8_2bad0813b7f14f36b00abceb8c01a492.jpg",759,1899,60%,4.5,96,AD,Brand
32588864,Puma,Skyrocket Lite Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32588864/2025/2/5/1c559611-e3e6-4427-b2e8-e0ec0defe8a31738762112054-Puma-Skyrocket-Lite-Unisex-Running-Shoes-241738762111572-1.jpg",2999,4999,40%,4.3,297,AD,Brand
19150592,Puma,Cricket Square Men Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/26/SQWeywfI_2a0f70016f164e9daa8e336b2f19165c.jpg",2499,4999,50%,4.2,4k,AD,Brand
33990083,Puma,Printed Two Fold Wallet,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/xm25bLB2_4d7d35fe342d4f758f7adf1e911f8e6e.jpg",899,1799,50%,4.6,134,Oragnic,Brand
38056198,Puma,Essentials Baseball Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/18/KI2Xr5hy_d0881e5b13b942abbffe7179c46b41d7.jpg",269,599,55%,4.5,97,Oragnic,Brand
27454732,Puma,Women Printed Sliders,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27454732/2025/2/5/1633b363-bba4-4c1e-a5c5-0bde27c1212f1738761383418-Puma-Women-Silvia-V4-Printed-Sliders-6601738761382947-1.jpg",959,1999,52%,4.3,349,AD,Brand
25815668,Puma,Leather Cruise Bi-Fold Wallet,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25815668/2023/11/9/351fabff-55e1-43f7-a332-24c9a0bdfcbb1699534357001PUMALeatherCruiseWalletV21.jpg",1399,1999,30%,4.5,1.8k,Oragnic,Brand
36653153,Puma,Men Outdoor Sports Shorts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/3/1YLWUw1H_a652d543af1241b4b4045c7897820288.jpg",869,1499,42%,4.2,186,Oragnic,Brand
29533744,Puma,Wave Women Flip-Flops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/27/TGaYlI89_acdd8aa83bbb4daa8fbaa143f6615a7e.jpg",999,1999,50%,4.5,3k,AD,Brand
13341874,Puma,Running Unisex Cap,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/12/30/f8c6a054-d69d-43df-bb44-eef640c9dd1c1609323035266-1.jpg",359,799,55%,4.3,46.1k,Oragnic,Brand
36674139,Puma,Softride Harli Hybrid Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/23/G6Z1ubxR_4031122acfea4e2a8690532df788e8e2.jpg",2099,5999,65%,4.6,78,Oragnic,Brand
